,Global CMP22 (vent/cor) [W/m^2]
2022-01-20 07:51:00-07:00,37.3101
2022-01-20 07:52:00-07:00,36.5307
2022-01-20 07:53:00-07:00,30.4591
2022-01-20 07:54:00-07:00,28.5444
2022-01-20 07:55:00-07:00,34.3673
2022-01-20 07:56:00-07:00,43.4717
2022-01-20 07:57:00-07:00,59.3722
2022-01-20 07:58:00-07:00,66.3221
2022-01-20 07:59:00-07:00,76.4465
2022-01-20 08:00:00-07:00,94.7319
2022-01-20 08:01:00-07:00,118.855
2022-01-20 08:02:00-07:00,138.054
2022-01-20 08:03:00-07:00,156.355
2022-01-20 08:04:00-07:00,154.839
2022-01-20 08:05:00-07:00,156.965
2022-01-20 08:06:00-07:00,154.309
2022-01-20 08:07:00-07:00,146.833
2022-01-20 08:08:00-07:00,133.887
2022-01-20 08:09:00-07:00,158.9
2022-01-20 08:10:00-07:00,156.664
2022-01-20 08:11:00-07:00,138.074
2022-01-20 08:12:00-07:00,128.176
2022-01-20 08:13:00-07:00,129.854
2022-01-20 08:14:00-07:00,122.528
2022-01-20 08:15:00-07:00,133.42
2022-01-20 08:16:00-07:00,154.357
2022-01-20 08:17:00-07:00,160.286
2022-01-20 08:18:00-07:00,159.736
2022-01-20 08:19:00-07:00,154.191
2022-01-20 08:20:00-07:00,160.425
2022-01-20 08:21:00-07:00,185.467
2022-01-20 08:22:00-07:00,194.376
2022-01-20 08:23:00-07:00,168.705
2022-01-20 08:24:00-07:00,160.334
2022-01-20 08:25:00-07:00,194.846
2022-01-20 08:26:00-07:00,201.321
2022-01-20 08:27:00-07:00,218.526
2022-01-20 08:28:00-07:00,245.508
2022-01-20 08:29:00-07:00,247.882
2022-01-20 08:30:00-07:00,256.671
2022-01-20 08:31:00-07:00,254.103
2022-01-20 08:32:00-07:00,266.777
2022-01-20 08:33:00-07:00,258.439
2022-01-20 08:34:00-07:00,255.098
2022-01-20 08:35:00-07:00,239.232
2022-01-20 08:36:00-07:00,244.342
2022-01-20 08:37:00-07:00,216.363
2022-01-20 08:38:00-07:00,216.512
2022-01-20 08:39:00-07:00,235.623
2022-01-20 08:40:00-07:00,261.568
2022-01-20 08:41:00-07:00,269.215
2022-01-20 08:42:00-07:00,274.282
2022-01-20 08:43:00-07:00,276.316
2022-01-20 08:44:00-07:00,290.231
2022-01-20 08:45:00-07:00,290.735
2022-01-20 08:46:00-07:00,295.686
2022-01-20 08:47:00-07:00,292.503
2022-01-20 08:48:00-07:00,298.662
2022-01-20 08:49:00-07:00,291.235
2022-01-20 08:50:00-07:00,298.956
2022-01-20 08:51:00-07:00,288.011
2022-01-20 08:52:00-07:00,281.376
2022-01-20 08:53:00-07:00,289.849
2022-01-20 08:54:00-07:00,301.976
2022-01-20 08:55:00-07:00,311.369
2022-01-20 08:56:00-07:00,280.571
2022-01-20 08:57:00-07:00,289.511
2022-01-20 08:58:00-07:00,315.72
2022-01-20 08:59:00-07:00,341.456
2022-01-20 09:00:00-07:00,354.869
2022-01-20 09:01:00-07:00,348.34
2022-01-20 09:02:00-07:00,344.644
2022-01-20 09:03:00-07:00,353.707
2022-01-20 09:04:00-07:00,277.64
2022-01-20 09:05:00-07:00,281.014
2022-01-20 09:06:00-07:00,303.57
2022-01-20 09:07:00-07:00,230.462
2022-01-20 09:08:00-07:00,301.819
2022-01-20 09:09:00-07:00,301.778
2022-01-20 09:10:00-07:00,302.428
2022-01-20 09:11:00-07:00,304.658
2022-01-20 09:12:00-07:00,305.559
2022-01-20 09:13:00-07:00,307.363
2022-01-20 09:14:00-07:00,310.04
2022-01-20 09:15:00-07:00,312.785
2022-01-20 09:16:00-07:00,315.425
2022-01-20 09:17:00-07:00,319.654
2022-01-20 09:18:00-07:00,319.231
2022-01-20 09:19:00-07:00,322.072
2022-01-20 09:20:00-07:00,323.518
2022-01-20 09:21:00-07:00,328.62
2022-01-20 09:22:00-07:00,329.333
2022-01-20 09:23:00-07:00,331.104
2022-01-20 09:24:00-07:00,335.435
2022-01-20 09:25:00-07:00,340.211
2022-01-20 09:26:00-07:00,342.274
2022-01-20 09:27:00-07:00,344.739
2022-01-20 09:28:00-07:00,347.161
2022-01-20 09:29:00-07:00,349.356
2022-01-20 09:30:00-07:00,350.807
2022-01-20 09:31:00-07:00,354.351
2022-01-20 09:32:00-07:00,357.132
2022-01-20 09:33:00-07:00,358.553
2022-01-20 09:34:00-07:00,359.682
2022-01-20 09:35:00-07:00,364.468
2022-01-20 09:36:00-07:00,367.83
2022-01-20 09:37:00-07:00,366.964
2022-01-20 09:38:00-07:00,371.193
2022-01-20 09:39:00-07:00,374.471
2022-01-20 09:40:00-07:00,377.59
2022-01-20 09:41:00-07:00,377.368
2022-01-20 09:42:00-07:00,381.843
2022-01-20 09:43:00-07:00,384.172
2022-01-20 09:44:00-07:00,387.227
2022-01-20 09:45:00-07:00,387.483
2022-01-20 09:46:00-07:00,391.585
2022-01-20 09:47:00-07:00,394.056
2022-01-20 09:48:00-07:00,394.434
2022-01-20 09:49:00-07:00,398.28
2022-01-20 09:50:00-07:00,401.043
2022-01-20 09:51:00-07:00,403.497
2022-01-20 09:52:00-07:00,405.086
2022-01-20 09:53:00-07:00,407.582
2022-01-20 09:54:00-07:00,410.178
2022-01-20 09:55:00-07:00,412.079
2022-01-20 09:56:00-07:00,413.933
2022-01-20 09:57:00-07:00,416.536
2022-01-20 09:58:00-07:00,419.424
2022-01-20 09:59:00-07:00,421.546
2022-01-20 10:00:00-07:00,424.72
2022-01-20 10:01:00-07:00,425.44
2022-01-20 10:02:00-07:00,428.346
2022-01-20 10:03:00-07:00,429.38
2022-01-20 10:04:00-07:00,431.903
2022-01-20 10:05:00-07:00,433.755
2022-01-20 10:06:00-07:00,436.555
2022-01-20 10:07:00-07:00,437.774
2022-01-20 10:08:00-07:00,439.991
2022-01-20 10:09:00-07:00,442.774
2022-01-20 10:10:00-07:00,443.763
2022-01-20 10:11:00-07:00,446.435
2022-01-20 10:12:00-07:00,448.216
2022-01-20 10:13:00-07:00,449.127
2022-01-20 10:14:00-07:00,450.415
2022-01-20 10:15:00-07:00,451.611
2022-01-20 10:16:00-07:00,454.638
2022-01-20 10:17:00-07:00,457.372
