,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 11:25,-12.90212,815.166,129.4221,2.817549,112.333,310.3796,271.2378,94.02556,16.20796,0.2230042,10.12171,0.1902298
1/1/2022 11:30,-12.81701,814.5124,120.6918,2.113144,104.3083,293.4945,255.9649,94.00854,15.91166,0.2218522,28.38214,0.5897124
1/1/2022 11:35,-12.76678,814.9521,117.6545,2.113126,101.6329,297.388,258.8714,93.83545,16.21117,0.2284283,149.2457,0.0570672
1/1/2022 11:40,-12.75125,814.5673,129.0398,2.113116,110.9933,345.4358,308.3172,93.91543,17.76576,0.2475054,36.86572,0.4945554
1/1/2022 11:45,-12.68401,814.9253,131.3167,2.113111,113.6676,354.5255,315.5882,93.92956,18.02816,0.2506244,55.24541,0.3899259
1/1/2022 11:50,-12.6179,814.5759,132.0755,0.7043691,115.0046,379.1987,346.1283,94.00793,18.78231,0.2593275,66.42226,0.3803883
1/1/2022 11:55,-12.61813,814.7775,130.5572,0.7043683,113.6672,379.1982,344.6736,93.9901,18.7266,0.2585025,53.61738,1.378896
1/1/2022 12:00,-12.68813,814.3877,133.5934,0.3521839,116.3417,383.0939,350.4906,93.93242,18.92523,0.2609523,76.03479,1.73063
1/1/2022 12:05,-12.85865,814.6695,130.9366,1.408735,111.6612,367.5103,335.9474,93.88014,18.63246,0.2578228,319.4177,0.2567385
1/1/2022 12:10,-12.82543,814.3334,122.9666,2.113102,104.3063,342.8364,309.7696,94.11558,17.49148,0.2407043,327.8004,0.3613248
1/1/2022 12:15,-12.70673,814.3695,132.0752,2.81747,110.9926,352.5761,308.3152,94.33535,18.13177,0.2500785,40.77708,0.8082143
1/1/2022 12:20,-12.53673,814.6943,168.5097,2.81747,145.7613,541.5257,503.1938,94.3348,23.07465,0.3027249,4.482445,0.380334
1/1/2022 12:25,-12.41775,814.8153,170.7846,2.113075,147.0966,529.8311,488.6441,94.38539,22.55247,0.2968006,48.28051,1.597395
1/1/2022 12:30,-12.38379,814.8553,159.3958,2.817376,136.396,459.0479,414.103,94.30006,20.51599,0.2686663,70.66941,1.616407
1/1/2022 12:35,-12.38382,814.2425,173.0543,3.52164,148.4275,499.9417,444.6325,94.55521,21.51937,0.2783729,334.8965,0.4849217
1/1/2022 12:40,-12.1116,814.6506,165.4533,3.521408,141.7323,447.9702,395.1625,94.87843,20.1494,0.2635656,93.05828,0.5990204
1/1/2022 12:45,-12.02653,814.2012,158.6118,4.929632,133.7005,412.8832,361.3289,94.91241,19.23856,0.2507327,43.77797,0.8462348
1/1/2022 12:50,-11.65219,814.7729,156.3308,2.816857,131.6914,408.9772,356.2302,95.18465,19.04602,0.2474423,353.334,1.0364
1/1/2022 12:55,-11.49905,814.4054,160.119,3.168841,135.0286,441.4185,385.2952,94.67419,19.76432,0.252707,115.5391,0.9318091
1/1/2022 13:00,-11.51607,814.7729,166.185,3.520829,139.0352,485.5458,428.9007,94.81031,20.98617,0.2627429,83.22668,1.25509
1/1/2022 13:05,-11.3289,814.6913,179.8414,3.520778,151.0649,575.7659,513.2195,94.75927,22.70416,0.2783725,49.38287,1.388205
1/1/2022 13:10,-11.37994,814.8955,174.5289,4.224916,145.7168,580.3073,521.9406,94.62315,22.58938,0.2739304,63.53295,1.293123
